	securityName	securityClass	putCall	cusipSedol	isin	manualIdentifier	ticker	formType	name	lei	currencyCode	payoffProfile	issuerClass	fairValueLevel	couponKind	countryCode	units	fileDate	effectiveDate	superceded	principal	shares	percent	value	sharesChange	percentChange	prevShares	prevValue	percentValueChange	percentOwnershipChange	sharePrice	costBasis	profit	performance	sharesMultiplier	valueMultiplier	allocation	prevAllocation	allocationPercentChange	allocationChange	current	unrealized	realized	pageDataId	lineNbr	default	option	formTypeShort	formattedFileDate	valueChange	bestIdentifier	restricted	safeAllocationChange	latestUnrealized	slug	url	ownershipPercent	ownershipPercentChange	sharesPercentChange	valuePercentChange	symbol
15	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Capital Advisory Group Advisory Services, LLC									2025-02-03	2024-12-31	False		4717.0		396983	4717.0		0.0	0.0			101.7502	479.9558				0.001	0.14249246702133544			0.14249246702133544		-82.97312					False	13F	02-03	396000	595112103		0.14249246702133544	-22.68982	capital-advisory-group-advisory-services-llc	https://fintel.io/i/capital-advisory-group-advisory-services-llc	0.0004220758935317361				MU
16	MICRON TECHNOLOGY INC	COM	Put	595112103				13F-HR	HighTower Advisors, LLC									2024-11-14	2024-09-30	False		0.0		0	-106.0	-100.0	106.0	0.0				0.0	0.0			0.001	0.0	1.082158731781923e-08	-100.0	-1.082158731781923e-08							put	13F	11-14	0	595112103		-1.082158731781923e-08		hightower-advisors-llc	https://fintel.io/i/hightower-advisors-llc	0.0	-100.0	-100.0		MU
17	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Cresset Asset Management, LLC									2025-02-14	2024-12-31	False		20889.0		1759503	-74408.0	-78.08010745353998	95297.0	9883.0	-82.2		62.87528	1313.402				0.001	0.008405470500408853	0.03803155555698395	-77.89869392059272	-0.0296260850565751		444.6166					False	13F	02-14	-8124000	595112103		-0.0296260850565751	711.5777	cresset-asset-management	https://fintel.io/i/cresset-asset-management	0.001869142111508254	-78.08010745353998	-78.08010745353998	-82.2	MU
18	Micron Technology Inc	EC		595112103	US5951121038		MU	NPORT-P	GVUS - Goldman Sachs ETF Trust - Goldman Sachs MarketBeta(R) Russell 1000 Value Equity ETF	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2025-01-28	2024-11-30	False		22033.0		2158132	-617.0	-2.7240618101545255	22650.0	2179.0	-0.96		88.41702	1948.092			1.0	0.001	0.406936755302	0.423945656972	-4.012047626925764	-0.01700890167		210.0402					False	NP	01-28	-21000	US5951121038		-0.01700890167	187.787	goldman-sachs-etf-trust-goldman-sachs-marketbeta-r-russell-1000-value-equity-etf	https://fintel.io/i/goldman-sachs-etf-trust-goldman-sachs-marketbeta-r-russell-1000-value-equity-etf	0.001971506924355468	-2.7240618101545255	-2.7240618101545255	-0.96	MU
19	Micron Technology Inc	EC		595112103	US5951121038		MU	NPORT-P	NEOS ETF Trust - NEOS Nasdaq-100(R) Hedged Equity Income ETF	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2025-01-23	2024-11-30	False		23180.0		2270481	23180.0							2270.481			1.0	0.001	0.6926298254			0.6926298254		-53.94421					False	NP	01-23	2270000	US5951121038		0.6926298254		neos-etf-trust-neos-nasdaq-100-r-hedged-equity-income-etf-6554	https://fintel.io/i/neos-etf-trust-neos-nasdaq-100-r-hedged-equity-income-etf-6554	0.002074140176397211				MU
20	MICRON TECHNOLOGY INC COMMON STOCK	EC		595112103	US5951121038			NPORT-P	KCGIX - Advisors' Inner Circle Fund III - Knights of Columbus Large Cap Growth Fund I Shares	B3DXGBC8GAIYWI2Z0172	USD	Long		1		US	NS	2024-12-30	2024-10-31	False		11350.0		1131027	0.0	0.0	11350.0	1246.0	-9.23		48.70508	552.8027			1.0	0.001	0.490058025986	0.565179401989	-13.291598338267471	-0.075121376003		578.2248					False	NP	12-30	-115000	US5951121038		-0.075121376003	547.4663	advisors-inner-circle-fund-iii-knights-of-columbus-large-cap-growth-fund-i-shares	https://fintel.io/i/advisors-inner-circle-fund-iii-knights-of-columbus-large-cap-growth-fund-i-shares	0.001015594952636253	0.0	0.0	-9.23	MU
21	Micron Technology Inc	EC		595112103	US5951121038			NPORT-P	Brighthouse Funds Trust I - AB Global Dynamic Allocation Portfolio Class B	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2025-02-28	2024-12-31	False		13954.0		1174368	-4321.0	-23.644322845417236	18275.0	1895.0	-38.05		45.215	630.9301			1.0	0.001	0.065880315722	0.070570105585	-6.645575805963992	-0.004689789863		543.4385					False	NP	02-28	-721000	US5951121038		-0.004689789863	721.7707	brighthouse-funds-trust-i-ab-global-dynamic-allocation-portfolio-class-b	https://fintel.io/i/brighthouse-funds-trust-i-ab-global-dynamic-allocation-portfolio-class-b	0.001248600173487777	-23.644322845417236	-23.644322845417236	-38.05	MU
22	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Personal Cfo Solutions, Llc									2025-02-07	2024-12-31	False		2793.0		235064	2793.0		0.0	0.0			101.7502	284.1884				0.001	0.046255652692478715			0.046255652692478715		-49.12951					False	13F	02-07	235000	595112103		0.046255652692478715	-13.43498	personal-cfo-solutions	https://fintel.io/i/personal-cfo-solutions	0.0002499168901068771				MU
23	Micron Technology, Inc.	EC		595112103	US5951121038			NPORT-P	Aim Variable Insurance Funds (invesco Variable Insurance Funds) - Invesco V.i. Equally-weighted S&p 500 Fund Series I	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2025-02-19	2024-12-31	False		9787.0		823673	-1052.0	-9.705692407048621	10839.0	1124.0	-26.78		63.36391	620.1426			1.0	0.001	0.171204836075	0.220277948497	-22.277814350839723	-0.049073112422		203.5314					False	NP	02-19	-301000	US5951121038		-0.049073112422	328.6092	aim-variable-insurance-funds-invesco-variable-insurance-funds-invesco-v-i-equally-weighted-s-p-500-fund-series-i	https://fintel.io/i/aim-variable-insurance-funds-invesco-variable-insurance-funds-invesco-v-i-equally-weighted-s-p-500-fund-series-i	0.0008757381322864324	-9.705692407048621	-9.705692407048621	-26.78	MU
24	Micron Technology Inc	EC		595112103	US5951121038		MU	NPORT-P	NEOS ETF Trust - NEOS Nasdaq-100(R) High Income ETF	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2025-01-23	2024-11-30	False		46089.0		4514417	14208.0	44.565728803989835	31881.0	3068.0	47.13		110.5592	5095.565			1.0	0.001	0.6968766723	0.7110486254	-1.9931060399740654	-0.0141719531		-581.147					False	NP	01-23	1446000	US5951121038		-0.0141719531	-627.6973	neos-etf-trust-neos-nasdaq-100-r-high-income-etf	https://fintel.io/i/neos-etf-trust-neos-nasdaq-100-r-high-income-etf	0.004124031345555265	44.565728803989835	44.565728803989835	47.13	MU
25	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Lombard Odier Asset Management (USA) Corp									2024-11-14	2024-09-30	False		0.0		0	-3000.0	-100.0	3000.0	394.0	-100.0			-394.0	0.0			0.001		0.029190571528398483	-100.0	-0.029190571528398483							False	13F	11-14	-394000	595112103		-0.029190571528398483		lombard-odier-asset-management-usa-	https://fintel.io/i/lombard-odier-asset-management-usa-	0.0	-100.0	-100.0	-100.0	MU
26	Micron Technology Inc	EC		595112103	US5951121038		MU	NPORT-P	WTAI - WisdomTree Trust - WisdomTree Artificial Intelligence and Innovation Fund NA	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2025-02-27	2024-12-31	False		30773.0		2589855	-1840.0	-5.641921932971514	32613.0	3382.0	-23.45		63.75852	1962.041			1.0	0.001	1.281488812044	1.718419870912	-25.42632718953092	-0.436931058868		627.8148					False	NP	02-27	-793000	US5951121038		-0.436931058868	1021.094	wisdomtree-trust-wisdomtree-artificial-intelligence-and-innovation-fund-na	https://fintel.io/i/wisdomtree-trust-wisdomtree-artificial-intelligence-and-innovation-fund-na	0.002753559777751138	-5.641921932971514	-5.641921932971514	-23.45	MU
27	Micron Technology Inc. COM	EC		595112103	US5951121038		MU	NPORT-P	MXEBX - GREAT-WEST FUNDS INC - Great-West Core Strategies: U.S. Equity Fund Institutional Class	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2025-02-25	2024-12-31	False		7153.0		601996	0.0	0.0	7153.0	741.0	-18.89		57.96207	414.6027			1.0	0.001	0.0915111339	0.1168084322	-21.65708230437152	-0.0252972983		187.3938					False	NP	02-25	-140000	US5951121038		-0.0252972983	278.8091	great-west-funds-inc-great-west-core-strategies-u-s-equity-fund-institutional-class	https://fintel.io/i/great-west-funds-inc-great-west-core-strategies-u-s-equity-fund-institutional-class	0.0006400485194896139	0.0	0.0	-18.89	MU
28	Micron Technology Inc	EC		595112103	US5951121038			NPORT-P	GBATX - GMO TRUST - GMO Strategic Opportunities Allocation Fund Class III	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2025-01-28	2024-11-30	False		2712.0		265640	846.0	45.337620578778136	1866.0	179.0	48.04		68.79792	186.58			1.0	0.001	0.149209631978	0.088402981193	68.7834844078933	0.060806650785		79.06044					False	NP	01-28	86000	US5951121038		0.060806650785	76.32128	gmo-trust-gmo-strategic-opportunities-allocation-fund-class-iii	https://fintel.io/i/gmo-trust-gmo-strategic-opportunities-allocation-fund-class-iii	0.0002426690318545831	45.337620578778136	45.337620578778136	48.04	MU
29	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Angeles Wealth Management, Llc									2025-01-28	2024-12-31	False		4525.0		380824	770.0	20.505992010652463	3755.0	389.0	-2.31		85.78761	388.1889				0.001	0.03138830703569433	0.03354135170967831	-6.419075452354916	-0.00215304467398398		-7.364928					False	13F	01-28	-9000	595112103		-0.00215304467398398	50.4646	angeles-wealth-management-llc	https://fintel.io/i/angeles-wealth-management-llc	0.0004048957850818542	20.505992010652463	20.505992010652463	-2.31	MU
30	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Sanctuary Wealth Management, L.L.C.									2025-02-12	2024-12-31	False		235.0		19778	20.0	9.30232558139535	215.0	22.0	-13.64		58.66039	13.78519				0.001	0.013084306783794299	0.015939234018514287	-17.911320151293562	-0.002854927234719988		5.992409					False	13F	02-12	-3000	595112103		-0.002854927234719988	8.99571	sanctuary-wealth-management-l-l-c	https://fintel.io/i/sanctuary-wealth-management-l-l-c	2.102773690480348e-05	9.30232558139535	9.30232558139535	-13.64	MU
31	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Red Wave Investments LLC									2025-02-03	2024-12-31	False		2644.0		222519	0.0	0.0	2644.0	274.0	-18.98		74.28603	196.4123				0.001	0.07784801483101607	0.09561917951080051	-18.58535575258427	-0.01777116467978444		26.10677					False	13F	02-03	-52000	595112103		-0.01777116467978444	59.89706	red-wave-investments-llc	https://fintel.io/i/red-wave-investments-llc	0.0002365844101119166	0.0	0.0	-18.98	MU
32	Micron Technology Inc	EC		595112103	US5951121038		MU	NPORT-P	IWV - iSHARES TRUST - iShares Russell 3000 ETF	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2025-02-26	2024-12-31	False		303284.0		25524381	6856.0	2.3128719284278136	296428.0	30742.0	-16.97		47.83186	14506.64			1.0	0.001	0.163155089687	0.205596446013	-20.64303987205908	-0.042441356326		11017.74					False	NP	02-26	-5218000	US5951121038		-0.042441356326	14893.71	ishares-trust-ishares-russell-3000-etf	https://fintel.io/i/ishares-trust-ishares-russell-3000-etf	0.0271377708912188	2.3128719284278136	2.3128719284278136	-16.97	MU
33	Micron Technology Inc	EC		595112103	US5951121038			NPORT-P	XNTK - SPDR SERIES TRUST - SPDR(R) NYSE Technology ETF	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2025-02-27	2024-12-31	False		251543.0		21169858	1100.0	0.4392216991491078	250443.0	25973.0	-18.5		52.8945	13305.24			1.0	0.001	2.463731976467	3.115846180256	-20.92896009826204	-0.652114203789		7864.619					False	NP	02-27	-4804000	US5951121038		-0.652114203789	11079.34	spdr-series-trust-spdr-r-nyse-technology-etf	https://fintel.io/i/spdr-series-trust-spdr-r-nyse-technology-etf	0.02250800010317013	0.4392216991491078	0.4392216991491078	-18.5	MU
34	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Paloma Partners Management Co									2024-11-14	2024-09-30	False		0.0		0	-2178.0	-100.0	2178.0	286.0	-100.0			-286.0	0.0			0.001		0.008064519146200953	-100.0	-0.008064519146200953							False	13F	11-14	-286000	595112103		-0.008064519146200953		paloma-partners-management	https://fintel.io/i/paloma-partners-management	0.0	-100.0	-100.0	-100.0	MU
35	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Northwest & Ethical Investments L.P.									2025-02-11	2024-12-31	False		1900.0		159704	-39427.0	-95.40252135407844	41327.0	4286.0	-96.29		126.0168	239.432				0.001	0.004338173990203053	0.11316810341231219	-96.16661067969167	-0.10882992942210913		-79.52797					False	13F	02-11	-4127000	595112103		-0.10882992942210913	-55.246	northwest-ethical-investments-l-p7905	https://fintel.io/i/northwest-ethical-investments-l-p7905	0.0001700114898686238	-95.40252135407844	-95.40252135407844	-96.29	MU
36	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Adviser Investments LLC									2025-02-12	2024-12-31	False		66030.0		5557077	60906.0	1188.64168618267	5124.0	531.0	946.52		97.76228	6455.243				0.001	0.06847462065715788	0.006630907330431551	932.6583866268786	0.06184371332672633		-898.1585					False	13F	02-12	5026000	595112103		0.06184371332672633	-54.2948	adviser-investments	https://fintel.io/i/adviser-investments	0.005908346671592228	1188.64168618267	1188.64168618267	946.52	MU
37	Micron Technology, Inc.	EC		595112103	US5951121038			NPORT-P	JVAL - J.P. Morgan Exchange-Traded Fund Trust - JPMorgan U.S. Value Factor ETF	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2024-12-26	2024-10-31	False		29606.0		2950237	1437.0	5.101352550676276	28169.0	3093.0	-4.62		79.39379	2350.533			1.0	0.001	0.435898878535	0.457063452051	-4.630554777685102	-0.021164573516		599.7052					False	NP	12-26	-143000	US5951121038		-0.021164573516	519.4726	j-p-morgan-exchange-traded-fund-trust-jpmorgan-u-s-value-factor-etf	https://fintel.io/i/j-p-morgan-exchange-traded-fund-trust-jpmorgan-u-s-value-factor-etf	0.002649136931079199	5.101352550676276	5.101352550676276	-4.62	MU
38	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Haverford Trust Co									2025-02-11	2024-12-31	False		0.0		0	-2439.0	-100.0	2439.0	252.0	-100.0			-252.0	0.0			0.001		0.0024646584365204008	-100.0	-0.0024646584365204008							False	13F	02-11	-252000	595112103		-0.0024646584365204008		haverford-trust	https://fintel.io/i/haverford-trust	0.0	-100.0	-100.0	-100.0	MU
39	MICRON TECHNOLOGY INC	PUT	Call	595112103				13F-HR	Paloma Partners Management Co									2024-11-14	2024-09-30	False		0.0		0	-4100.0	-100.0	4100.0	539.0	-100.0			-539.0	0.0			0.001		0.015181160579495472	-100.0	-0.015181160579495472							call	13F	11-14	-539000	595112103		-0.015181160579495472		paloma-partners-management	https://fintel.io/i/paloma-partners-management	0.0	-100.0	-100.0	-100.0	MU
40	Micron Technology Inc	COM		595112103				13F-HR	Palouse Capital Management, Inc.									2025-01-30	2024-12-31	False		13101.0		1102580	13101.0						101.7502	1333.03				0.001	0.7331837538641134			0.7331837538641134		-230.4496					False	13F	01-30	1102000	595112103		0.7331837538641134	-63.01906	palouse-capital-management	https://fintel.io/i/palouse-capital-management	0.001172273962509916				MU
41	MICRON TECHNOLOGY INC	EC		595112103	US5951121038			NPORT-P	VARIABLE INSURANCE PRODUCTS FUND - Stock Selector All Cap Portfolio Investor Class	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2025-02-25	2024-12-31	False		290658.0		24461777	24858.0	9.352144469525959	265800.0	27566.0	-11.26		85.89275	24965.42			1.0	0.001	0.525840921164	0.568828220207	-7.557167087694168	-0.042987299043		-503.6383					False	NP	02-25	-3105000	US5951121038		-0.042987299043	3210.967	variable-insurance-products-fund-stock-selector-all-cap-portfolio-investor-class	https://fintel.io/i/variable-insurance-products-fund-stock-selector-all-cap-portfolio-investor-class	0.02600799980117604	9.352144469525959	9.352144469525959	-11.26	MU
42	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Douglass Winthrop Advisors, LLC									2025-02-11	2024-12-31	False		0.0		0	-2000.0	-100.0	2000.0	207.0	-100.0			-207.0	0.0			0.001		0.003953942281258715	-100.0	-0.003953942281258715							False	13F	02-11	-207000	595112103		-0.003953942281258715		douglass-winthrop-advisors-llc	https://fintel.io/i/douglass-winthrop-advisors-llc	0.0	-100.0	-100.0	-100.0	MU
43	MICRON TECHNOLOGY INC	Common Stock		595112103				13F-HR	Brown Brothers Harriman & Co									2025-02-12	2024-12-31	False		3171.0		266871	446.0	16.36697247706422	2725.0	282.0	-5.67		78.38411	248.556				0.001	0.0018711297145984085	0.0019212519250141585	-2.6088307193436204	-5.012221041575e-05		18.31533					False	13F	02-12	-16000	595112103		-5.012221041575e-05	58.84074	brown-brothers-harriman-	https://fintel.io/i/brown-brothers-harriman-	0.0002837402286175822	16.36697247706422	16.36697247706422	-5.67	MU
44	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Savant Capital, LLC									2025-01-29	2024-12-31	False		14373.0		1209673	-158.0	-1.0873305347188769	14531.0	1507.0	-19.77		63.79428	916.9152				0.001	0.009508779250358895	0.012508577968119543	-23.981932441930628	-0.002999798717760648		292.7165					False	13F	01-29	-298000	595112103		-0.002999798717760648	476.4034	savant-capital-llc	https://fintel.io/i/savant-capital-llc	0.001286092180990384	-1.0873305347188769	-1.0873305347188769	-19.77	MU
45	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	K2 Principal Fund, L.p.									2025-02-14	2024-12-31	False		0.0		0	-7500.0	-100.0	7500.0	777.0	-100.0			-777.0	0.0			0.001		0.1119714816506953	-100.0	-0.1119714816506953							False	13F	02-14	-777000	595112103		-0.1119714816506953		k2-principal-fund	https://fintel.io/i/k2-principal-fund	0.0	-100.0	-100.0	-100.0	MU
46	MICRON TECHNOLOGY INC	CALL	Call	595112903				13F-HR	Simplex Trading, Llc									2025-02-11	2024-12-31	False		2609100.0		219581	-773700.0	-22.871585668676836	3382800.0	350.0	-37.43		0.0938	-72.57306	-57.84594	-16.52741142857143		0.001	0.12292730052765455	0.2059048738029318	-40.29898454695819	-0.08297757327527724		3176.039					call	13F	02-11	-131000	595112903		-0.08297757327527724	252998.7	simplex-trading-llc	https://fintel.io/i/simplex-trading-llc	0.2334615674822245	-22.871585668676836	-22.871585668676836	-37.43	MU
47	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Simplex Trading, Llc									2025-02-11	2024-12-31	False		40676.0		3423	-61371.0	-60.139935519907496	102047.0	10.0	-70.0		0.0911	-5.5908981	-0.9861019	-9.861019		0.001	0.0019162866992415626	0.0062112455589784996	-69.14810916674313	-0.004294958859736937		401.6335					False	13F	02-11	-7000	595112103		-0.004294958859736937	3948.722	simplex-trading-llc	https://fintel.io/i/simplex-trading-llc	0.003639677558892707	-60.139935519907496	-60.139935519907496	-70.0	MU
